"time","sp","msl","u10","v10","t2m","d2m","speed","horizon","is_origin"
2017-02-24 00:00:00,99154.64,99153.07,6.6723914,-11.668556,278.83655,271.992,13.4415775160481,0,1
2017-02-25 00:00:00,101584.39,101582.96,7.1513977,1.5546671,278.72498,274.04077,7.31843418057358,0,1
2017-02-26 00:00:00,100406.695,100405.59,10.262256,6.3105226,280.64423,278.74982,12.0472649881476,0,1
2017-02-27 00:00:00,99936.79,99936.02,8.331926,11.171613,280.826,278.71793,13.936496255919,0,1
2017-02-28 00:00:00,98032.07,98030.86,9.292153,12.995548,278.97537,276.25192,15.9758685271165,0,1
2017-02-01 06:00:00,101667.31,101665.984,-2.2705655,9.5441885,277.1962,274.7026,9.81055563224237,6,0
2017-02-02 06:00:00,100610.41,100608.97,-0.8529185,8.218245,279.8111,278.91608,8.26238590527381,6,0
2017-02-03 06:00:00,100063.66,100062.46,-2.6446667,7.604944,280.245,279.03897,8.05167281980738,6,0
2017-02-04 06:00:00,99740.85,99739.59,0.7623615,8.226759,279.85944,277.97354,8.26200694146182,6,0
2017-02-05 06:00:00,100187.8,100186.805,-7.163247,-0.4488475,278.5916,277.63116,7.17729556736138,6,0
2017-02-06 06:00:00,101715.016,101713.47,-7.937042,0.34921122,277.09198,274.45862,7.94472052283388,6,0
2017-02-07 06:00:00,102080.72,102079.88,-10.935404,5.4633403,276.3025,272.4207,12.2242033636888,6,0
2017-02-08 06:00:00,102793.92,102791.96,-11.754708,-0.041997015,275.19577,270.1647,11.7547830228606,6,0
2017-02-09 06:00:00,103270.6,103269.29,-8.91817,-0.45207036,274.1826,269.6504,8.92962058316536,6,0
2017-02-10 06:00:00,102845.97,102844.734,-10.184329,0.3458418,273.7293,269.39526,10.1901993960309,6,0
2017-02-11 06:00:00,102593.586,102592.44,-10.233329,1.0400157,275.42026,272.65015,10.2860417595151,6,0
2017-02-12 06:00:00,103093.02,103091.55,-13.344073,-0.7582816,275.06525,272.0584,13.3656004434604,6,0
2017-02-13 06:00:00,103552.17,103551.15,-10.395354,3.1368241,276.28366,273.81644,10.858317098872,6,0
2017-02-14 06:00:00,103209.46,103207.83,-9.762257,3.0787902,276.47974,274.1963,10.2362400728815,6,0
2017-02-15 06:00:00,103136.09,103134.83,-0.5809555,4.953459,278.61612,276.3935,4.98741068668515,6,0
2017-02-16 06:00:00,102364.27,102362.69,9.811734,4.828846,280.25366,278.72614,10.9356242518876,6,0
2017-02-17 06:00:00,101831.95,101830.3,5.5053196,-4.3339067,279.7058,278.6956,7.00651776437119,6,0
2017-02-18 06:00:00,102509.11,102507.8,5.647819,1.3804938,278.2248,277.55826,5.81408828524296,6,0
2017-02-19 06:00:00,101442.836,101441.41,8.999097,2.930083,279.99835,278.62158,9.46409706217651,6,0
2017-02-20 06:00:00,100950.95,100949.695,10.037144,3.8782005,280.37985,279.37354,10.7603298645969,6,0
2017-02-21 06:00:00,100801.086,100799.89,9.404927,-2.6876075,279.88525,277.94843,9.78140511119876,6,0
2017-02-22 06:00:00,99581.29,99579.82,12.336083,-1.754421,281.03244,279.31195,12.4602141565918,6,0
2017-02-23 06:00:00,99493.31,99492.234,3.980084,2.3241596,279.26056,277.42453,4.60898974758332,6,0
2017-02-24 06:00:00,100327.39,100326.625,4.470614,-9.2913685,278.29926,270.70102,10.3109610677079,6,0
2017-02-25 06:00:00,101344.055,101342.734,4.680776,7.259623,279.18716,276.6297,8.6378116478831,6,0
2017-02-26 06:00:00,100243.586,100242.65,8.378152,6.0411334,280.1819,278.87518,10.3290233658221,6,0
2017-02-27 06:00:00,99715.234,99713.73,6.836398,9.166734,280.44308,278.78308,11.4352678080209,6,0
2017-02-28 06:00:00,98111.42,98110.18,8.964648,9.570466,278.27057,274.4556,13.1133036730284,6,0
2017-02-01 12:00:00,101435.99,101435,-5.3559055,9.753224,276.9762,274.81323,11.1270437277431,12,0
2017-02-02 12:00:00,100511.164,100510.28,-2.7549403,9.274154,279.6084,278.7954,9.67469009696332,12,0
2017-02-03 12:00:00,100222.75,100221.445,1.0622394,5.4086967,280.23077,279.294,5.5120189164682,12,0
2017-02-04 12:00:00,99999.15,99997.44,2.2208433,4.9687,279.49173,277.96082,5.44243738164757,12,0
2017-02-05 12:00:00,100314.91,100313.83,-7.7614784,1.8188899,277.7522,277.0071,7.9717568591866,12,0
2017-02-06 12:00:00,102058.125,102056.914,-9.628132,2.543439,276.9944,274.28494,9.95841391769518,12,0
2017-02-07 12:00:00,102138.195,102137,-12.107525,5.0369034,275.98135,271.71753,13.1134494884663,12,0
2017-02-08 12:00:00,103047.65,103046.375,-9.227587,-0.38634312,274.26044,269.1944,9.23567121810539,12,0
2017-02-09 12:00:00,103282.36,103280.516,-9.006299,0.3113804,273.81488,269.02502,9.01168016692255,12,0
2017-02-10 12:00:00,102747.72,102746.74,-9.952162,-0.46583515,273.82834,270.9469,9.96305830863292,12,0
2017-02-11 12:00:00,102681.55,102680.44,-11.569648,-0.7069924,275.13745,272.63855,11.5912291452443,12,0
2017-02-12 12:00:00,103324.42,103323.34,-12.665764,0.4563557,275.7006,272.94104,12.6739827295376,12,0
2017-02-13 12:00:00,103569.98,103568.26,-9.885031,2.6272688,276.45276,273.95297,10.2282148598088,12,0
2017-02-14 12:00:00,103206.58,103205.01,-7.2056885,6.0424733,276.67474,272.94977,9.40390505801952,12,0
2017-02-15 12:00:00,103088.72,103087.766,0.54469395,5.7218537,279.06018,276.80386,5.74772139750791,12,0
2017-02-16 12:00:00,102395.85,102394.78,8.309644,3.7942145,279.98285,278.51752,9.13489173875346,12,0
2017-02-17 12:00:00,102256.266,102255.33,3.569649,-6.2027607,279.68005,278.67667,7.15657978958283,12,0
