"time","sp","msl","u10","v10","t2m","d2m","speed","horizon","is_origin"
2017-02-28 06:00:00,95459.836,99578.97,3.83897,4.7550497,276.79144,273.69324,6.11131641386454,6,0
2017-02-01 12:00:00,97723,101980.516,-0.70944285,1.2916882,275.22437,271.21808,1.47369181426625,12,0
2017-02-02 12:00:00,97032.836,101182.734,1.3070496,2.1658282,279.48996,276.50375,2.52966212146512,12,0
2017-02-03 12:00:00,96576.89,100715.51,2.4835443,3.8383589,278.91327,276.1123,4.57176020098077,12,0
2017-02-04 12:00:00,96182.96,100303.48,-1.624815,1.7226682,280.11224,275.01624,2.368039170182,12,0
2017-02-05 12:00:00,96277.88,100435.43,1.4915178,0.76286,277.70612,273.753,1.67528526744457,12,0
2017-02-06 12:00:00,97582.805,101840.94,-1.3093171,-1.3015554,274.80817,273.37772,1.84617380753318,12,0
2017-02-07 12:00:00,97816.72,102129.28,-4.1094785,0.05674912,272.3127,269.43057,4.10987031481323,12,0
2017-02-08 12:00:00,98326.32,102674.89,-3.9696732,-0.50662994,272.01038,266.60068,4.00187196333199,12,0
2017-02-09 12:00:00,98603.77,102975.55,-3.9869819,-1.4155153,271.46048,264.38412,4.23080467942704,12,0
2017-02-10 12:00:00,98044.73,102347.16,-4.016524,0.038855076,273.62088,268.6332,4.01671193384676,12,0
2017-02-11 12:00:00,98027.086,102286.84,-3.4720464,-0.08292237,276.58813,269.96606,3.47303647017986,12,0
2017-02-12 12:00:00,98728.695,103040.56,-4.584846,-0.603045,275.19333,271.0637,4.62433520797758,12,0
2017-02-13 12:00:00,99081.805,103387.59,-4.9033456,-0.68228203,276.63718,269.56973,4.95058651489905,12,0
2017-02-14 12:00:00,99038.02,103300.375,-3.213621,0.08426139,278.74548,270.3165,3.21472548026822,12,0
2017-02-15 12:00:00,99238.17,103471,1.7334929,1.5649585,281.25565,272.85382,2.33539991030929,12,0
2017-02-16 12:00:00,98791.76,102975.07,2.6430168,2.720246,283.39853,277.2547,3.79279265259759,12,0
2017-02-17 12:00:00,98147.52,102377.11,5.8516192,2.163603,278.21735,275.6141,6.23879998103943,12,0
2017-02-18 12:00:00,98485.66,102746.58,2.9163227,-0.68464184,277.25018,274.19818,2.99560887627438,12,0
2017-02-19 12:00:00,97919.555,102130.82,4.473877,2.6361165,279.08203,273.63147,5.19275318233991,12,0
2017-02-20 12:00:00,97539.24,101729.23,5.634515,3.7100782,278.9778,276.99197,6.74629079830837,12,0
2017-02-21 12:00:00,97160.695,101305.87,6.8547797,-1.63567,281.02863,276.84738,7.04722790070196,12,0
2017-02-22 12:00:00,96534.07,100650.97,7.984894,3.8058615,280.67136,278.81448,8.84551377526587,12,0
2017-02-23 12:00:00,95731.03,99819.28,6.1367745,5.671051,280.65207,277.43002,8.35588539344881,12,0
2017-02-24 12:00:00,96838.09,101030.19,6.3454185,-3.7283196,277.69543,271.07465,7.35966731448416,12,0
2017-02-25 12:00:00,97880.71,102099.7,3.8597846,3.82494,278.68707,272.05353,5.43397673550386,12,0
2017-02-26 12:00:00,97118.32,101256.19,5.623993,3.4808822,281.57156,273.04694,6.61406366421777,12,0
2017-02-27 12:00:00,96275.98,100337.875,4.930091,6.102832,284.4023,275.68268,7.84540347518883,12,0
2017-02-28 12:00:00,95328.57,99409.67,4.974368,6.000226,280.62982,271.37875,7.79403932826234,12,0
2017-02-01 18:00:00,97594.13,101851.9,-0.56890655,1.8715507,269.96997,268.43185,1.95610753418706,18,0
2017-02-02 18:00:00,96823.164,100940.66,0.36643267,3.4504495,277.00058,275.29276,3.46985225243,18,0
2017-02-03 18:00:00,96513.06,100654.516,0.94628286,3.280348,276.98685,276.3606,3.41410811958757,18,0
2017-02-04 18:00:00,95968.96,100088.01,-3.097533,0.67805505,275.85974,273.96887,3.17087832262916,18,0
2017-02-05 18:00:00,96478.01,100646.62,-2.0100505,0.7060542,273.6298,272.2653,2.13044961120602,18,0
2017-02-06 18:00:00,97794.79,102094.266,-2.9613743,-0.8898119,272.3685,271.91318,3.09216800353443,18,0
2017-02-07 18:00:00,97863.49,102185.54,-4.1634164,-0.8209804,271.26675,269.10986,4.24358868612088,18,0
2017-02-08 18:00:00,98567.99,102956.914,-3.931095,-0.90846384,268.31805,265.04007,4.03470128356642,18,0
2017-02-09 18:00:00,98443.19,102831.22,-5.0394707,-1.4159305,268.31134,263.17188,5.2346083059756,18,0
2017-02-10 18:00:00,98018.74,102298.17,-2.8224177,0.07739788,273.016,269.98184,2.82347872403916,18,0
2017-02-11 18:00:00,98082.73,102373.18,-3.9586987,-0.5171852,271.76935,269.76666,3.99233965595122,18,0
2017-02-12 18:00:00,98928.98,103245.34,-4.617661,-0.8601953,273.53513,271.45288,4.69709794075694,18,0
2017-02-13 18:00:00,99065.086,103395.73,-5.0317364,-0.72900176,272.14694,269.08472,5.08427131112887,18,0
2017-02-14 18:00:00,99130.125,103385.805,-2.2002497,0.6050047,272.64087,270.43903,2.28191354555167,18,0
2017-02-15 18:00:00,99180.77,103399.24,2.0624251,2.6148148,275.5297,272.50482,3.33029334014424,18,0
2017-02-16 18:00:00,98538.8,102729,2.9020715,2.1692061,279.69894,278.1625,3.62318562806123,18,0
2017-02-17 18:00:00,98192.23,102428.56,3.101572,0.83893955,276.8134,276.14966,3.21303103622393,18,0
2017-02-18 18:00:00,98429.33,102688.05,1.4787549,0.8606596,275.38818,273.18488,1.71097954439735,18,0
2017-02-19 18:00:00,97817.445,102036.484,4.3621397,2.0617752,277.06372,274.69553,4.82485022955647,18,0
2017-02-20 18:00:00,97243.945,101408.62,6.3962064,3.534623,279.2385,278.5767,7.3078735664713,18,0
2017-02-21 18:00:00,97274.055,101425.95,3.8323274,1.0323364,278.57184,274.31805,3.96893584523052,18,0
2017-02-22 18:00:00,96297.01,100401.57,7.9305706,4.6703215,280.56644,279.39023,9.20357826907267,18,0
2017-02-23 18:00:00,95107.71,99170.46,8.522408,5.4865513,279.97403,276.79114,10.1357625902542,18,0
2017-02-24 18:00:00,97325.36,101545.48,2.8628695,0.59911144,273.84857,268.448,2.92488568863283,18,0
2017-02-25 18:00:00,97625.76,101818.63,3.9262054,3.270875,278.3141,271.40872,5.11015773813433,18,0
2017-02-26 18:00:00,97089.64,101219.78,3.144294,3.7761385,280.50696,274.5727,4.91383828891613,18,0
2017-02-27 18:00:00,95719.984,99755.695,2.9764576,5.28008,282.7324,275.41788,6.06123293159055,18,0
2017-02-28 18:00:00,95089.25,99211.484,1.5881722,5.3796425,275.8027,274.38086,5.60917501640474,18,0
2017-02-02 00:00:00,97365.7,101587.81,0.25987267,2.8178155,273.90103,271.65662,2.82977348857699,24,0
2017-02-03 00:00:00,96699.51,100792.945,1.0599613,4.562285,278.42258,274.35623,4.68379785843953,24,0
2017-02-04 00:00:00,96479.23,100638.17,1.6061357,4.546507,275.94235,275.2613,4.82186662899997,24,0
2017-02-05 00:00:00,95925.33,100074.49,2.2795758,4.587039,276.10745,274.90012,5.12224488046663,24,0
2017-02-06 00:00:00,96806.01,101027.125,-1.7121602,-0.35734236,272.7054,272.46222,1.74905291878617,24,0
2017-02-07 00:00:00,97870.8,102200.12,-3.0958035,-0.6577505,270.87622,270.06915,3.16490679655223,24,0
2017-02-08 00:00:00,97969.24,102322.086,-4.410951,-0.9061645,269.8227,267.939,4.50306815687496,24,0
2017-02-09 00:00:00,98699.73,103130.46,-3.3344483,-0.165416,266.46667,264.02808,3.33854877430732,24,0
2017-02-10 00:00:00,98291.695,102711.38,-4.4956098,-0.92065775,266.2165,263.56244,4.58891252547824,24,0
2017-02-11 00:00:00,98059.39,102356.94,-1.8400269,0.3595899,269.72687,268.68228,1.87483436305867,24,0
2017-02-12 00:00:00,98248.695,102599.25,-3.3535366,-0.246099,268.58575,267.97556,3.36255445239784,24,0
2017-02-13 00:00:00,99014.79,103380.875,-4.129214,-0.15989566,270.46338,269.67072,4.13230866222295,24,0
2017-02-14 00:00:00,98998.984,103366.195,-4.7372594,-0.060327888,269.165,267.73154,4.73764351518336,24,0
2017-02-15 00:00:00,99202.31,103455.78,0.6041899,1.0425272,270.25253,266.93158,1.2049516164568,24,0
2017-02-16 00:00:00,99135.09,103350.31,3.3051825,2.2120905,275.30792,272.2324,3.97713159682911,24,0
2017-02-17 00:00:00,98384.586,102614.16,3.194623,1.0997193,276.36432,275.8726,3.37860898165524,24,0
2017-02-18 00:00:00,98339.26,102585.73,3.4338608,0.12676299,276.55704,276.0523,3.43619976855397,24,0
2017-02-19 00:00:00,98334.56,102593.664,1.6095867,2.2524068,273.87033,272.5437,2.76841213288468,24,0
2017-02-20 00:00:00,97873.2,102094.14,3.5590672,1.7128296,276.5144,276.00906,3.94977778776883,24,0
2017-02-21 00:00:00,97085.51,101229.055,6.1147914,3.2212,279.98755,279.57965,6.9113532181125,24,0
2017-02-22 00:00:00,97034.15,101180.86,3.790594,4.0992866,279.6106,278.47336,5.58325653196909,24,0
2017-02-23 00:00:00,96236.7,100334.055,7.253366,3.5923378,280.84683,279.8746,8.09420837384761,24,0
2017-02-24 00:00:00,95213.85,99320.45,10.1577015,4.640643,277.37085,273.3448,11.1675631727137,24,0
2017-02-25 00:00:00,97698.77,101966.17,3.6003213,1.112045,271.7494,269.59262,3.76815041436229,24,0
2017-02-26 00:00:00,97386.06,101578.586,4.552442,3.899546,277.18256,270.20993,5.99426285455351,24,0
2017-02-27 00:00:00,97011.78,101165.76,4.1539955,3.595877,278.73657,276.09952,5.49417964878737,24,0
2017-02-28 00:00:00,95451.81,99518.9,4.3110905,5.093831,280.08902,277.6355,6.67327622354652,24,0
2017-03-01 00:00:00,95513.875,99675.125,6.523017,2.4556446,274.6782,273.4321,6.96993121801056,24,0
2017-03-01 00:00:00,95665.67,99830.734,5.083446,3.5135975,274.20395,272.76422,6.17954615056173,0,1
2017-03-02 00:00:00,95904.36,100038.05,2.2844565,5.3425436,277.2679,276.3994,5.8104658692994,0,1
2017-03-03 00:00:00,97503.81,101708.875,3.8548503,1.6598508,275.97037,273.21252,4.19701983717861,0,1
2017-03-04 00:00:00,96086.03,100150.2,1.1352143,5.031706,279.8635,270.724,5.15817572183815,0,1
2017-03-05 00:00:00,95654.81,99735.03,3.963957,3.898899,280.04025,275.4362,5.56006911018649,0,1
2017-03-06 00:00:00,95875.93,100010.92,1.3079431,2.3854,276.94763,274.91785,2.72045002027929,0,1
2017-03-07 00:00:00,96371.48,100546.6,3.0497978,-0.23484969,274.96286,274.22684,3.05882673549483,0,1
2017-03-08 00:00:00,97858.95,102097.78,2.8542042,2.0341766,274.75757,273.71783,3.50490457149481,0,1
2017-03-09 00:00:00,97377.73,101557.54,4.5342245,1.8293605,278.00314,277.7243,4.88935084191762,0,1
2017-03-10 00:00:00,97853.2,102067.15,5.7492456,-2.0293891,277.24707,275.43304,6.09690454971358,0,1
2017-03-11 00:00:00,98574.56,102808.664,0.63479775,1.2681823,272.6833,270.73285,1.41818705728065,0,1
2017-03-12 00:00:00,98030.41,102266.72,-2.7797,0.6618235,273.3812,271.73184,2.85740134303046,0,1
2017-03-13 00:00:00,98026.84,102281.66,-1.9078424,1.2076167,271.91632,269.47217,2.25791955511188,0,1
2017-03-14 00:00:00,98763.84,102985.16,2.1556141,0.91951776,276.92886,273.75262,2.3435411366294,0,1
2017-03-15 00:00:00,98836.22,103028.05,3.6884058,0.8246747,279.07556,276.46515,3.77947426321357,0,1
2017-03-16 00:00:00,98747.734,102956.33,2.077335,1.187619,277.38623,274.8595,2.39285594873281,0,1
2017-03-17 00:00:00,97563.69,101656.7,2.7726836,3.4368358,280.5752,274.27313,4.41583680199694,0,1
2017-03-18 00:00:00,96730.23,100887.02,4.3977194,2.8190129,277.85025,274.7557,5.22367396106445,0,1
2017-03-19 00:00:00,96876.13,101032.05,2.9731388,-0.14955449,278.3091,276.99478,2.97689786011287,0,1
2017-03-20 00:00:00,96781,100887.664,6.120986,2.5437908,281.60318,276.9789,6.62852481675679,0,1
2017-03-21 00:00:00,96640.29,100748.27,4.6971197,3.8105104,280.82538,276.47083,6.04838184844808,0,1
2017-03-22 00:00:00,97373.516,101550.22,1.1920254,0.34945703,276.31,275.01852,1.24219353164536,0,1
2017-03-23 00:00:00,97411.21,101598.305,-2.5356662,-0.2747135,278.02026,275.1524,2.55050398645144,0,1
2017-03-24 00:00:00,98218.7,102449.44,-4.1484995,-2.0158334,278.0426,276.71237,4.61233480983935,0,1
2017-03-25 00:00:00,98998.06,103243.67,-2.4663768,0.19966006,274.6013,272.97775,2.47444512146409,0,1
2017-03-26 00:00:00,98325.48,102543.84,-2.767239,-1.5087025,276.57037,272.51672,3.15179233399462,0,1
2017-03-27 00:00:00,98506.51,102694.36,-1.3478072,1.4236567,274.3954,271.58957,1.96045470435477,0,1
2017-03-28 00:00:00,98196.48,102280.805,0.9507309,2.0844138,278.66644,271.88977,2.29099762851149,0,1
2017-03-29 00:00:00,98186.85,102280.3,2.7125525,1.9109104,282.63483,279.6792,3.31805961701781,0,1
2017-03-30 00:00:00,98526.93,102662.05,2.6962986,1.2238259,282.4027,280.20883,2.96104305505218,0,1
2017-03-31 00:00:00,98173.22,102238.17,0.26884258,2.373851,282.61722,279.09885,2.38902593184378,0,1
2017-03-01 06:00:00,95791.766,99957.59,5.106496,4.0805416,275.0061,273.6643,6.53659859157242,6,0
2017-03-02 06:00:00,96049.086,100177.734,8.650384,3.1450944,278.144,275.99713,9.20438819978641,6,0
2017-03-03 06:00:00,97308.86,101499.65,1.3220464,3.2154098,274.04492,271.31982,3.47658839463187,6,0
2017-03-04 06:00:00,95853.4,99900.56,0.1781075,2.9830933,277.3438,271.51025,2.98840558125251,6,0
2017-03-05 06:00:00,96080.43,100221.63,4.4113483,4.515855,277.13412,275.08792,6.3129185172104,6,0
2017-03-06 06:00:00,96028.61,100187.9,3.6925805,2.7075748,276.35806,275.21277,4.57887672323413,6,0
